Age	Price
12	2950
9	5900
8	2999
3	11950
9	6100
1	26500
9	6850
10	5490
5	12999
9	9900
2	19900
11	3990
18	800
10	3900
12	7000
11	2750
6	11000
4	9650
7	7500
2	26500
18	1990
7	7000
13	3500
6	6990
1	39990
4	29990
1	29990
2	25990
3	21990
3	19990
5	6000
9	5999
10	5990
3	12500
6	14000
1	20500
12	4250
11	4500
6	7750
20	950
12	4300
17	2300
5	9490
7	8900
11	3000
8	6500
12	8000
18	1450
4	14150
14	1950
15	1800
3	18000
3	16350
13	1690
10	3490
2	26000
12	4000
10	5490
5	7900
9	10500
15	799
10	4200
10	5500
9	1150
12	2600
10	5100
10	4000
14	4500
13	2600
16	2400
11	4900
4	14950
8	8900
6	13490
7	5490
7	12999
3	21500
12	4200
9	4200
7	10500
7	10800
7	8600
8	8950
5	7900
12	3700
0	25600
7	11000
5	8700
11	3800
2	10950
8	6450
5	9450
15	2950
5	10500
7	8000
12	4600
8	4975
4	18950
6	10000
1	30000
9	4000
4	7650
15	2695
5	12490
2	36900
3	18000
2	27900
1	22950
0	23900
5	11900
7	9800
2	20980
17	5000
9	10980
11	2800
1	24500
9	10995
12	7879
9	6990
14	1498
3	17900
5	9990
0	13990
2	9990
